V,B,C,A,tier
0,0,0,0,human-only
0,0,0,1,human-only
0,0,0,2,human-only
0,0,1,0,human-only
0,0,1,1,human-only
0,0,1,2,human-only
0,0,2,0,human-only
0,0,2,1,human-only
0,0,2,2,human-only
0,1,0,0,human-only
0,1,0,1,human-only
0,1,0,2,human-only
0,1,1,0,human-only
0,1,1,1,pair
0,1,1,2,pair
0,1,2,0,human-only
0,1,2,1,pair
0,1,2,2,pair
0,2,0,0,human-only
0,2,0,1,human-only
0,2,0,2,human-only
0,2,1,0,human-only
0,2,1,1,pair
0,2,1,2,pair
0,2,2,0,human-only
0,2,2,1,pair
0,2,2,2,pair
1,0,0,0,human-only
1,0,0,1,human-only
1,0,0,2,human-only
1,0,1,0,human-only
1,0,1,1,pair
1,0,1,2,pair
1,0,2,0,human-only
1,0,2,1,pair
1,0,2,2,pair
1,1,0,0,human-only
1,1,0,1,pair
1,1,0,2,pair
1,1,1,0,pair
1,1,1,1,pair
1,1,1,2,pair
1,1,2,0,pair
1,1,2,1,pair
1,1,2,2,pair
1,2,0,0,human-only
1,2,0,1,pair
1,2,0,2,pair
1,2,1,0,pair
1,2,1,1,pair
1,2,1,2,pair
1,2,2,0,pair
1,2,2,1,pair
1,2,2,2,pair
2,0,0,0,human-only
2,0,0,1,human-only
2,0,0,2,human-only
2,0,1,0,human-only
2,0,1,1,pair
2,0,1,2,pair
2,0,2,0,human-only
2,0,2,1,pair
2,0,2,2,pair
2,1,0,0,human-only
2,1,0,1,pair
2,1,0,2,pair
2,1,1,0,pair
2,1,1,1,pair
2,1,1,2,pair
2,1,2,0,pair
2,1,2,1,pair
2,1,2,2,pair
2,2,0,0,human-only
2,2,0,1,pair
2,2,0,2,pair
2,2,1,0,pair
2,2,1,1,pair
2,2,1,2,pair
2,2,2,0,pair
2,2,2,1,delegate
2,2,2,2,delegate
